"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"21",21,0.580337065880719,14.4386,-1.00755,-1.125045,-1.456105,6.40510511104,23.159525,47.008,233.59175,49.9969,0.68784458629,1.47200983812696,0.2010826875,0.2004861875,0.201655979166667,0.212005,0.310713,0.08918086918555,0.11319394308395,0.359234067833,-1.5874983737855e-06,0.1262368811919,7.47287041666667,14.9417952083333,22.41175,4.97997e-06,4.98072,66.51675,123.076104166667,430.263541666667,22.03931875,86.8936541666667,0.9665908125,1.95834,7.6,2.05423,0.122002,0.243954666666667,0.52269,2.48578e-07,0.111353,0
"22",22,0.588927204266647,14.4386,-1.022065,-1.13457,-1.49761,6.369964312635,22.738725,46.7771,233.049,50.35695,0.786757621727,1.15668098939208,0.20145725,0.2002033125,0.201240229166667,0.212005979166667,0.310712791666667,0.13475961298415,0.1357596398158,0.3772166225905,-1.461545138438e-06,0.1390238025946,7.47291,14.94178,22.41175,4.97997e-06,4.98072,65.3729104166667,120.98075,422.401416666667,21.50900625,85.3907395833333,0.9660301875,1.95834,7.6,2.05423,0.122002,0.243954,0.52269,2.48578e-07,0.111353,0
"23",23,0.60751514428209,14.4386,-1.050955,-1.167765,-1.71205,6.26233048691,22.36125,46.41835,232.611,64.911,1.1691572270575,1.42162497136324,0.200300770833333,0.199680958333333,0.200844145833333,0.212006,0.310713,0.1656895278424,0.249226567642,0.594991615036,-8.0316735098e-07,0.1592497123712,7.47291708333333,14.94178,22.41175,4.97997e-06,4.98072,64.2485229166667,118.921875,414.701854166667,20.9938479166667,83.9262645833333,0.9701231875,1.95834,7.6,2.05423,0.122002333333333,0.243954,0.52269,2.48578e-07,0.111353,0
"24",24,0.56420993343915,15.0816,-1.08236,-1.20295,-1.77643,6.1717770519,22.446325,46.097225,232.06275,75.43745,1.28204196855,1.85751322911994,0.199467416666667,0.199130166666667,0.200380333333333,0.212006,0.310713,0.167634981087,0.27449562195,0.66250544283,-5.1756869943e-07,0.177406803936,7.47299520833333,14.9418066666667,22.41175,4.97997e-06,4.98072,63.1491,116.908208333333,407.161458333333,20.4930125,82.4826770833333,0.981342416666667,1.95834,7.6,2.05423333333333,0.122003375,0.243954,0.522689229166667,2.48577645833333e-07,0.111353,0
"25",25,0.707399290656186,15.6316,-1.11536,-1.23938,-1.81688,6.03861300568,22.66495,45.903475,231.4535,66.52475,1.259798788556,1.93358235510513,0.198644291666667,0.198491541666667,0.199851979166667,0.212006,0.310713,0.1492950039172,0.257138000513,0.666055265777,-2.09609668434e-07,0.1873108121001,7.473164375,14.9418716666667,22.41175,4.97997e-06,4.98072,62.0717458333333,114.93475,399.7764375,20.0058375,81.080625,0.9978863125,1.95834,7.6,2.05424,0.122004791666667,0.243954270833333,0.522687333333333,2.48576708333333e-07,0.111353,0
"26",26,0.724781020375423,17.3274,-1.15385,-1.28159,-1.78228,5.914369828335,22.834675,45.76975,230.79125,62.16445,1.163261248438,2.02205571184495,0.197909708333333,0.197833270833333,0.199260895833333,0.212006,0.310713,0.1200017346119,0.209747913263,0.625381875099,-6.28407241488e-08,0.2081293337965,7.47337125,14.9419489583333,22.41175,4.97997e-06,4.98072,61.0159416666667,113.000625,392.543270833333,19.5321791666667,79.70408125,1.01770139583333,1.95834,7.6,2.05424416666667,0.122007104166667,0.243954854166667,0.522685333333333,2.485756875e-07,0.111352604166667,0
"27",27,1.02517794913494,17.5756,-1.19052,-1.323,-2.01402,5.750191490795,23.09295,45.662375,230.0605,53.145,1.4541600069635,2.37079153373454,0.1972528125,0.197150666666667,0.198593208333333,0.212006,0.310713,0.1681602835559,0.2973262564275,0.768682530345,6.792891071815e-07,0.219990349132,7.47375479166667,14.9421016666667,22.41175,4.97997e-06,4.98072,59.9834166666667,111.108479166667,385.458604166667,19.07110625,78.3628895833333,1.04288604166667,1.95834,7.6,2.05425791666667,0.122011208333333,0.243955,0.522682145833333,2.48574270833333e-07,0.111351645833333,0
"28",28,0.543394919111328,20.21358,-1.244955,-1.380195,-1.86144,5.603382947565,22.975775,45.610725,229.3665,66.29085,1.0071280366175,1.70404374975166,0.196548854166667,0.196514083333333,0.197990520833333,0.212006,0.310713,0.09503557187375,0.16650965180445,0.5338409573125,5.671592060425e-07,0.211740778539,7.474108125,14.942256875,22.41175,4.97997e-06,4.98072,58.9689479166667,109.250229166667,378.5181875,18.6221875,77.0457,1.04971208333333,1.95834,7.6,2.054273125,0.122015,0.243955,0.522678645833333,2.48572708333333e-07,0.111351,0
"29",29,0.882669584511632,20.37132,-1.274205,-1.41109,-2.004835,5.474870974485,22.99385,45.440825,228.849,57.3977,1.2797820605225,2.19058004164245,0.195972625,0.195971729166667,0.197425020833333,0.212006,0.310713,0.12600106397105,0.229010593845,0.6772332057535,1.1467067961035e-06,0.247536511533,7.474274375,14.9423164583333,22.41175,4.97997e-06,4.98072,57.9733520833333,107.426229166667,371.718583333333,18.1851854166667,75.7500520833333,1.06139791666667,1.95834,7.6,2.054283125,0.122016479166667,0.243955291666667,0.522676979166667,2.48571666666667e-07,0.111350666666667,0
"30",30,0.861563086031398,21.81574,-1.32166,-1.46461,-2.03527,5.31426078342,23.1337,45.3216,228.18325,56.3946,1.245490581978,2.30639901867171,0.195401270833333,0.195340708333333,0.196762854166667,0.212006,0.310713,0.1196904241008,0.2109608741565,0.649368882504,1.4950385283825e-06,0.265468247046,7.47472083333333,14.94249,22.41175,4.97997e-06,4.98072,56.9998583333333,105.641520833333,365.0560625,17.7597125,74.4862625,1.08131979166667,1.95834,7.6,2.05429645833333,0.1220213125,0.2439559375,0.522673,2.48570020833333e-07,0.1113496875,0
