"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"191",191,1.5162307543617,85.4036,-1.566975,-1.88963,-2.54844,0.8792158824405,19.5742,34.695375,142.036,7.983955,0.3820980705205,1.6028204850866,0.289633041666667,0.243776520833333,0.187104979166667,0.212306,0.310713,0.17242471896045,0.2661453785455,-0.060832261187,8.23223466217e-06,0.00435226974106,9.55288,14.300376875,24.2387327083333,4.77619541666667e-05,0.014012711875,9.22665354166667,14.8204020833333,38.0821375,1.038570625,0.1923666875,0.906616145833333,2.05269,7.6,1.834415,0.160555458333333,0.2524689375,0.586222166666667,2.65569770833333e-07,0.0007531278125,0
"192",192,2.26331524011665,85.4036,-1.55198,-1.870655,-2.60319,0.8878902490285,20.2288,35.228325,141.50675,5.91291,0.3941648259405,1.39987708759742,0.286593354166667,0.241502041666667,0.187279708333333,0.212306,0.310713,0.16490956376,0.2541815874305,-0.0290755312118,7.83617684077e-06,0.00414111836158,9.54838416666667,14.2932489583333,24.2264285416667,4.77240875e-05,0.01412584375,9.150358125,14.70899375,37.71660625,1.03000791666667,0.192678833333333,0.921168729166667,2.05269,7.6,1.83385416666667,0.160547541666667,0.252455270833333,0.586242083333333,2.65650958333333e-07,0.000754895270833333,0
"193",193,1.88324217697335,85.4036,-1.54544,-1.859895,-2.75235,0.893324372024,20.829925,35.80265,140.9835,7.07252,0.479736709292,1.36355173521674,0.284155270833333,0.2393908125,0.187404520833333,0.212306270833333,0.310713,0.176979514886,0.272411733392,0.0259557791036,8.43606134656e-06,0.00438123508308,9.54376520833333,14.2860933333333,24.2140397916667,4.7685975e-05,0.0142316208333333,9.0763,14.5986708333333,37.3568645833333,1.02166125,0.192974583333333,0.932796104166667,2.05269,7.6,1.83328770833333,0.16053825,0.252442020833333,0.586262833333333,2.65733020833333e-07,0.000756559,0
"194",194,2.57449886673743,85.4036,-1.538325,-1.849515,-2.713795,0.898578239152,20.864125,36.379525,140.473,5.162145,0.44022032632,1.1440310423801,0.282679458333333,0.237545833333333,0.187503229166667,0.212307,0.310713,0.1651127969424,0.253720941968,0.01727672854104,7.86162561772e-06,0.00410178152554,9.53922541666667,14.2790625,24.2015708333333,4.76475979166667e-05,0.0143081033333333,9.00303416666667,14.48776875,37.00290625,1.01352458333333,0.193335270833333,0.937486208333333,2.052836875,7.6,1.83272333333333,0.160530041666667,0.252430270833333,0.586281666666667,2.6581475e-07,0.000757834625,0
"195",195,2.69965134724501,85.4036,-1.53518,-1.8417,-2.561655,0.89964328123,19.97185,36.76915,139.9625,4.73176,0.3751105482195,0.937360935965333,0.280125520833333,0.235473270833333,0.187589395833333,0.212307,0.310713,0.1565102765483,0.2399057671755,-0.02525660230795,7.405567761645e-06,0.003944392033185,9.53412354166667,14.2714739583333,24.1889872916667,4.76088854166667e-05,0.0143622754166667,8.93698958333333,14.3847166666667,36.65494375,1.00564916666667,0.193800583333333,0.931282583333333,2.05998479166667,7.6,1.82585833333333,0.1605171875,0.25241525,0.586308458333333,2.65900854166667e-07,0.000758818395833333,0
"196",196,2.7288974232757,85.4036,-1.53229,-1.834865,-2.563825,0.9040628360825,18.543275,36.84485,139.4575,4.63153,0.3933784971765,0.979171124116833,0.2788154375,0.233594291666667,0.1876809375,0.212307,0.310713,0.1617885495043,0.247463220118,-0.01995648497858,7.651191712845e-06,0.004076014077615,9.52897458333333,14.2638247916667,24.1762952083333,4.756983125e-05,0.0144043847916667,8.8727,14.28318125,36.3129083333333,0.998025875,0.19434025,0.9221555625,2.07173729166667,7.6,1.81490770833333,0.160504125,0.2524003125,0.5863356875,2.659878125e-07,0.000759632520833333,0
"197",197,2.66946399452396,85.4036,-1.529825,-1.826875,-2.55575,0.90945631424,17.387625,36.6643,138.9495,4.68188,0.3866568594425,0.952456611875854,0.275946083333333,0.231452895833333,0.187776541666667,0.212307,0.310713,0.1582520607597,0.241454662803,-0.017046324032274,7.4737058611e-06,0.00398899730028,9.523710625,14.256031875,24.16350625,4.75304895833333e-05,0.0144488614583333,8.81062354166667,14.1840583333333,35.9765083333333,0.990613083333333,0.194875854166667,0.9195641875,2.08360958333333,7.6,1.80397020833333,0.160490354166667,0.252384583333333,0.586364354166667,2.66076020833333e-07,0.000760485708333333,0
"198",198,1.050842,85.4036,-1.52914,-1.820245,-2.02861,0.9152274464245,16.568475,36.2715,138.4405,7.213235,0.0815602140275,0.972521894345477,0.274783583333333,0.2295864375,0.187894125,0.212307270833333,0.310713,0.0819513060871,0.12390045717485,-0.12645981378005,3.49140250892e-06,0.002164712933365,9.51873104166667,14.24849,24.1506420833333,4.74908916666667e-05,0.0145037847916667,8.74598041666667,14.08220625,35.6454541666667,0.983407625,0.195496729166667,0.921855833333333,2.095591875,7.6,1.79307083333333,0.1604790625,0.252370458333333,0.58638875,2.66162770833333e-07,0.0007614670625,0
"199",199,2.70752529023118,85.4036,-1.51953,-1.80716,-2.661575,0.9188552861925,15.7766,35.70645,137.93275,4.67527,0.420586131483,1.04065490028228,0.2748891875,0.228004166666667,0.188001458333333,0.212308,0.310713,0.15503656598325,0.235471584815,0.0262025222691,7.35214893081e-06,0.00386795596447,9.51402645833333,14.24122125,24.13772125,4.74511270833333e-05,0.014571938125,8.67842979166667,13.97751875,35.3193354166667,0.976349583333333,0.196096229166667,0.928933479166667,2.10768520833333,7.6,1.7822175,0.160470354166667,0.2523583125,0.586408229166667,2.662476875e-07,0.000762634083333333,0
"200",200,2.55076572359694,85.4036,-1.5225,-1.80391,-2.504975,0.922551014205,15.006125,35.017325,137.40275,4.60824,0.357450165153,0.988897064376798,0.272284291666667,0.226072979166667,0.188054208333333,0.212308,0.310713,0.1481213353482,0.223980652395,-0.018407956987116,6.95174644062e-06,0.00374894022336,9.508808125,14.2333625,24.124746875,4.741116875e-05,0.0146217960416667,8.61763479166667,13.88101875,34.9980395833333,0.969465166666667,0.196752270833333,0.939965958333333,2.11993666666667,7.6,1.77132770833333,0.160457645833333,0.252342458333333,0.586436,2.66336666666667e-07,0.000763568895833333,0
